,DateValue,Num_Pes_Designate,PesAdmitted
386,1/22/2019,13,2
387,1/23/2019,17,2
388,1/24/2019,15,3
389,1/25/2019,9,3
390,1/26/2019,11,1
391,1/27/2019,11,3
392,1/28/2019,18,1
393,1/29/2019,13,1
394,1/30/2019,12,0
395,1/31/2019,10,2
396,2/1/2019,12,2
397,2/2/2019,13,2
398,2/3/2019,9,3
399,2/4/2019,27,2
400,2/5/2019,13,1
401,2/6/2019,20,2
402,2/7/2019,16,1
403,2/8/2019,19,2
404,2/9/2019,11,1
405,2/10/2019,11,0
406,2/11/2019,20,5
407,2/12/2019,20,1
408,2/13/2019,17,4
409,2/14/2019,15,5
410,2/15/2019,17,0
411,2/16/2019,11,1
412,2/17/2019,14,1
413,2/18/2019,14,2
414,2/19/2019,8,1
415,2/20/2019,15,3
416,2/21/2019,13,1
417,2/22/2019,15,3
418,2/23/2019,9,1
419,2/24/2019,7,0
420,2/25/2019,16,0
421,2/26/2019,16,4
422,2/27/2019,18,5
423,2/28/2019,17,0
424,3/1/2019,21,2
425,3/2/2019,10,0
426,3/3/2019,18,2
427,3/4/2019,13,2
428,3/5/2019,14,2
429,3/6/2019,15,2
430,3/7/2019,7,0
431,3/8/2019,14,4
432,3/9/2019,10,2
433,3/10/2019,16,4
434,3/11/2019,18,5
435,3/12/2019,23,4
436,3/13/2019,13,2
437,3/14/2019,19,7
438,3/15/2019,17,2
439,3/16/2019,18,3
440,3/17/2019,15,4
441,3/18/2019,19,2
442,3/19/2019,16,3
443,3/20/2019,17,5
444,3/21/2019,18,4
445,3/22/2019,23,3
446,3/23/2019,9,0
447,3/24/2019,14,0
448,3/25/2019,21,2
449,3/26/2019,15,3
450,3/27/2019,12,3
451,3/28/2019,10,1
452,3/29/2019,19,3
453,3/30/2019,17,1
454,3/31/2019,12,0
455,4/1/2019,10,4
456,4/2/2019,13,0
457,4/3/2019,21,3
458,4/4/2019,16,1
459,4/5/2019,19,1
460,4/6/2019,15,0
461,4/7/2019,15,1
462,4/8/2019,21,6
463,4/9/2019,16,1
464,4/10/2019,20,1
465,4/11/2019,20,2
466,4/12/2019,16,6
467,4/13/2019,17,1
468,4/14/2019,13,2
469,4/15/2019,16,0
470,4/16/2019,15,2
471,4/17/2019,18,1
472,4/18/2019,13,1
473,4/19/2019,15,4
474,4/20/2019,12,1
475,4/21/2019,10,1
476,4/22/2019,14,2
477,4/23/2019,14,2
478,4/24/2019,12,2
479,4/25/2019,20,2
480,4/26/2019,15,4
481,4/27/2019,12,0
482,4/28/2019,9,3
483,4/29/2019,17,3
484,4/30/2019,12,3
485,5/1/2019,16,2
486,5/2/2019,15,1
487,5/3/2019,20,3
488,5/4/2019,13,1
489,5/5/2019,18,5
490,5/6/2019,16,2
491,5/7/2019,12,5
492,5/8/2019,15,0
493,5/9/2019,14,4
494,5/10/2019,11,5
495,5/11/2019,11,0
496,5/12/2019,10,0
497,5/13/2019,22,2
498,5/14/2019,11,4
499,5/15/2019,17,3
500,5/16/2019,10,0
501,5/17/2019,18,3
502,5/18/2019,13,3
503,5/19/2019,11,5
504,5/20/2019,19,2
505,5/21/2019,16,1
506,5/22/2019,14,0
507,5/23/2019,7,1
508,5/24/2019,17,2
509,5/25/2019,14,0
510,5/26/2019,13,1
511,5/27/2019,13,1
512,5/28/2019,17,4
513,5/29/2019,12,1
514,5/30/2019,17,2
515,5/31/2019,12,2
516,6/1/2019,11,0
517,6/2/2019,16,2
518,6/3/2019,9,0
519,6/4/2019,15,1
520,6/5/2019,16,3
521,6/6/2019,13,3
522,6/7/2019,19,1
523,6/8/2019,11,0
524,6/9/2019,16,3
525,6/10/2019,14,0
526,6/11/2019,15,3
527,6/12/2019,20,3
528,6/13/2019,14,2
529,6/14/2019,18,1
530,6/15/2019,8,0
531,6/16/2019,14,2
532,6/17/2019,18,2
533,6/18/2019,17,3
534,6/19/2019,16,4
535,6/20/2019,11,4
536,6/21/2019,18,6
537,6/22/2019,9,0
538,6/23/2019,15,4
539,6/24/2019,16,2
540,6/25/2019,15,2
541,6/26/2019,13,4
542,6/27/2019,15,0
543,6/28/2019,17,5
544,6/29/2019,12,1
545,6/30/2019,16,5
546,7/1/2019,13,2
547,7/2/2019,17,3
548,7/3/2019,22,4
549,7/4/2019,11,1
550,7/5/2019,16,4
551,7/6/2019,11,2
552,7/7/2019,18,5
553,7/8/2019,14,3
554,7/9/2019,13,2
555,7/10/2019,21,1
556,7/11/2019,10,3
557,7/12/2019,16,1
558,7/13/2019,11,3
559,7/14/2019,14,1
560,7/15/2019,12,1
561,7/16/2019,20,3
562,7/17/2019,13,3
563,7/18/2019,19,3
564,7/19/2019,16,4
565,7/20/2019,13,2
566,7/21/2019,14,2
567,7/22/2019,16,3
568,7/23/2019,15,2
569,7/24/2019,13,4
570,7/25/2019,22,3
571,7/26/2019,13,4
572,7/27/2019,14,5
573,7/28/2019,13,1
574,7/29/2019,15,3
575,7/30/2019,15,4
576,7/31/2019,17,5
577,8/1/2019,13,3
578,8/2/2019,16,2
579,8/3/2019,15,3
580,8/4/2019,15,4
581,8/5/2019,15,2
582,8/6/2019,21,4
583,8/7/2019,19,7
584,8/8/2019,17,3
585,8/9/2019,19,7
586,8/10/2019,4,0
587,8/11/2019,13,3
588,8/12/2019,16,4
589,8/13/2019,14,2
590,8/14/2019,12,2
591,8/15/2019,16,3
592,8/16/2019,11,4
593,8/17/2019,10,3
594,8/18/2019,14,3
595,8/19/2019,17,3
596,8/20/2019,17,4
597,8/21/2019,19,5
598,8/22/2019,17,7
599,8/23/2019,21,4
600,8/24/2019,10,3
601,8/25/2019,11,2
602,8/26/2019,12,4
603,8/27/2019,13,3
604,8/28/2019,13,3
605,8/29/2019,18,3
606,8/30/2019,14,6
607,8/31/2019,15,2
608,9/1/2019,12,2
609,9/2/2019,15,2
610,9/3/2019,19,2
611,9/4/2019,13,6
612,9/5/2019,8,2
613,9/6/2019,19,8
614,9/7/2019,16,6
615,9/8/2019,9,2
616,9/9/2019,15,4
617,9/10/2019,16,3
618,9/11/2019,19,4
619,9/12/2019,20,8
620,9/13/2019,14,2
621,9/14/2019,15,2
622,9/15/2019,15,1
623,9/16/2019,12,4
624,9/17/2019,11,5
625,9/18/2019,13,3
626,9/19/2019,12,4
627,9/20/2019,12,1
628,9/21/2019,9,1
629,9/22/2019,14,4
630,9/23/2019,11,5
631,9/24/2019,17,4
632,9/25/2019,14,5
633,9/26/2019,10,3
634,9/27/2019,15,6
635,9/28/2019,9,4
636,9/29/2019,15,4
637,9/30/2019,18,7
638,10/1/2019,14,8
639,10/2/2019,12,4
640,10/3/2019,17,9
641,10/4/2019,6,3
642,10/5/2019,16,5
643,10/6/2019,11,3
644,10/7/2019,14,4
645,10/8/2019,21,2
646,10/9/2019,9,2
647,10/10/2019,12,2
648,10/11/2019,15,5
649,10/12/2019,12,6
650,10/13/2019,10,3
651,10/14/2019,15,5
652,10/15/2019,18,5
653,10/16/2019,15,7
654,10/17/2019,16,6
655,10/18/2019,12,2
